TIPO,EVENTO,SITUACAO,QTD,TEMPO,NIVEL
ALARME OEM,Right Rear Brake Temperature - Active,Em qualquer situação,2,360,Muito Alto
ALARME OEM,High Left Front Brake Oil Temperature,Em qualquer situação,2,360,Muito Alto
ALARME OEM,High Right Front Brake Oil Temperature,Em qualquer situação,2,360,Muito Alto
ALARME OEM,High Left Rear Brake Oil Temperature,Em qualquer situação,2,360,Muito Alto
ALARME OEM,High Right Rear Brake Oil Temperature,Em qualquer situação,2,360,Muito Alto
ALARME OEM,Brake Pump Pressure Not Responding To Command,"Mediante cinco alarmes nível 3 consecutivos,",5,720,Muito Alto
ALARME OEM,[036.04] Grid blower fault / Gy19 Grid Blower Failure - Blower 2 Open,Em qualquer situação,1,0,Muito Alto
ALARME OEM,[036.03] Grid blower fault / Gy19 Grid Blower Failure - Blower 1 Open,Em qualquer situação,1,0,Muito Alto
TENDÊNCIA,MC - Tendência baixa pressão do óleo motor <250KPA,Mediante dois alarmes de tendência,2,360,Muito Alto
TENDÊNCIA,MC - Tendênica baixa pressão do óleo motor <200KPA,Mediante dois alarmes de tendência,2,360,Muito Alto
TENDÊNCIA,MC - Tendência baixa pressão do óleo motor <150KPA,Mediante dois alarmes de tendência,2,360,Muito Alto
SISTEMA,MEMS não comunica,Manutenção previamente avisada e não comunica acima de 40 minutos,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1150),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1150_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1250_Gen2X),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1350),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1350_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1850),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-1850_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-2350),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-2350_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-950),Em qualquer situação,1,0,Muito Alto
ALARME OEM,Hydraulic Reservoir Oil Temperature Critically High (L-950_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1250_Gen2X),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-2350),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-950_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1350_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1850_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1350),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-950),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1150_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-2350_Gen2),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1150),Em qualquer situação,1,0,Muito Alto
ALARME OEM,HPD Gearbox Oil Pressure Critically Low (L-1850),Em qualquer situação,1,0,Muito Alto
